Wavenumber;Intensity
1790,9858;0,000943
1792,8495;0,000775
1794,7132;0,000595
1796,5768;0,000042
1798,4405;-0,000140
1800,3042;0,000656
1802,1678;0,000963
1804,0315;0,000564
1805,8952;0,000072
1807,7589;-0,000005
1809,6225;0,000273
1811,4862;-0,000334
1813,3499;-0,000335
1815,2135;0,000386
1817,0772;-0,000608
1818,9409;-0,000805
1820,8045;0,000156
1822,6682;-0,001046
1824,5319;-0,001681
1826,3955;-0,000778
1828,2592;-0,000111
1830,1229;0,000315
1831,9865;0,000473
1833,8502;-0,000293
1835,7139;-0,001080
1837,5776;-0,001303
1839,4412;-0,001058
1841,3049;-0,001503
1843,1686;-0,002583
1845,0322;-0,002023
1846,8959;-0,001047
1848,7596;-0,000456
1850,6232;0,000171
1852,4869;0,000371
1854,3506;-0,000421
1856,2142;-0,000132
1858,0779;0,001003
1859,9416;-0,000040
1861,8052;-0,001105
1863,6689;-0,001242
1865,5326;-0,001270
1867,3963;-0,000355
1869,2599;-0,001012
1871,1236;-0,002410
1872,9873;-0,001533
1874,8509;-0,000620
1876,7146;-0,000421
1878,5783;0,000222
1880,4419;-0,000224
1882,3056;-0,001889
1884,1693;-0,003209
1886,0329;-0,003360
1887,8966;-0,003177
1889,7603;-0,003100
1891,6240;-0,003094
1893,4876;-0,003176
1895,3513;-0,003568
1897,2150;-0,004020
1899,0786;-0,004288
1900,9423;-0,004547
1902,8060;-0,004856
1904,6696;-0,004552
1906,5333;-0,005179
1908,3970;-0,006382
1910,2606;-0,005020
1912,1243;-0,005666
1913,9880;-0,006777
1915,8516;-0,002266
1917,7153;-0,000865
1919,5790;-0,003098
1921,4427;-0,002703
1923,3063;-0,002022
1925,1700;-0,002139
1927,0337;-0,002760
1928,8973;-0,003536
1930,7610;-0,003788
1932,6247;-0,002983
1934,4883;-0,002531
1936,3520;-0,002336
1938,2157;0,000250
1940,0793;0,000048
1941,9430;-0,003113
1943,8067;-0,001794
1945,6704;-0,000819
1947,5340;-0,003703
1949,3977;-0,004710
1951,2614;-0,003497
1953,1250;-0,001577
1954,9887;-0,000123
1956,8524;0,000794
1958,7160;-0,001967
1960,5797;-0,010459
1962,4434;-0,010900
1964,3070;-0,003984
1966,1707;-0,002193
1968,0344;-0,008237
1969,8980;-0,009823
1971,7617;-0,005647
1973,6254;-0,006438
1975,4891;-0,008439
1977,3527;-0,009049
1979,2164;-0,004873
1981,0801;0,001238
1982,9437;0,004497
1984,8074;0,003899
1986,6711;-0,000678
1988,5347;-0,004187
1990,3984;-0,004501
1992,2621;-0,002369
1994,1257;-0,001656
1995,9894;-0,001994
1997,8531;-0,001584
1999,7167;-0,003980
2001,5804;-0,004460
2003,4441;-0,002536
2005,3078;-0,003856
2007,1714;-0,007512
2009,0351;-0,006126
2010,8988;0,005432
2012,7624;0,008618
2014,6261;-0,000559
2016,4898;-0,000917
2018,3534;-0,000731
2020,2171;-0,005931
2022,0808;-0,005466
2023,9444;-0,007930
2025,8081;-0,010642
2027,6718;-0,004066
2029,5355;-0,004380
2031,3991;-0,013966
2033,2628;-0,011948
2035,1265;-0,001104
2036,9901;0,001488
2038,8538;-0,001294
2040,7175;-0,000756
2042,5811;-0,000032
2044,4448;-0,000922
2046,3085;-0,001313
2048,1721;-0,002168
2050,0358;-0,000275
2051,8995;0,000281
2053,7631;-0,001177
2055,6268;-0,000186
2057,4905;-0,002282
2059,3542;-0,000769
2061,2178;0,003527
2063,0815;-0,000103
2064,9452;-0,003719
2066,8088;-0,002626
2068,6725;-0,000305
2070,5362;-0,001466
2072,3998;-0,003350
2074,2635;-0,002016
2076,1272;-0,001649
2077,9908;-0,002389
2079,8545;-0,001350
2081,7182;0,000052
2083,5819;-0,001539
2085,4455;-0,004329
2087,3092;-0,001758
2089,1729;0,002026
2091,0365;0,001992
2092,9002;-0,000010
